source	predicate	target	type	reverse	description
# Predicate Reference (camelCase with reverses):
# Taxonomic: isA/hasInstance, instanceOf/hasInstances, subtypeOf/hasSubtype, typeOf/hasType
# Compositional: partOf/hasPart, memberOf/hasMember, belongsTo/owns
# Dependency: uses/usedBy, requires/requiredBy, enables/enabledBy, dependsOn/dependedOnBy
# Structural: extends/extendedBy, implements/implementedBy, inheritsFrom/inheritedBy
# Integration: wraps/wrappedBy, integrates/integratedBy, connectsTo/connectedFrom
# Semantic: synonymOf/synonymOf, relatedTo/relatedTo, antonymOf/antonymOf
# Capability: provides/providedBy, exposes/exposedBy
# Branding: brandedAs/hasBranding, aliasOf/hasAlias
# Deployment: deployedTo/hosts, runsOn/runs
#
# === AGENT RELATIONSHIPS ===
# All named agents are instances of agents.do and implement agent.as
tom.do	instanceOf	agents.do	taxonomic	hasInstances	Tom is an agent
tom.do	implements	agent.as	structural	implementedBy	Tom implements agent interface
tom.do	hasRole	engineering	capability	roleOf	Tom has engineering role
tom.do	partOf	engineering.teams.do	compositional	hasPart	Tom is on engineering team
tom.do	relatedTo	ralph.do	semantic	relatedTo	Tom works with Ralph
tom.do	relatedTo	priya.do	semantic	relatedTo	Tom works with Priya
priya.do	instanceOf	agents.do	taxonomic	hasInstances	Priya is an agent
priya.do	implements	agent.as	structural	implementedBy	Priya implements agent interface
priya.do	hasRole	product	capability	roleOf	Priya has product role
priya.do	relatedTo	tom.do	semantic	relatedTo	Priya works with Tom
priya.do	relatedTo	quinn.do	semantic	relatedTo	Priya works with Quinn
ralph.do	instanceOf	agents.do	taxonomic	hasInstances	Ralph is an agent
ralph.do	implements	agent.as	structural	implementedBy	Ralph implements agent interface
ralph.do	hasRole	engineering	capability	roleOf	Ralph has engineering role
ralph.do	relatedTo	tom.do	semantic	relatedTo	Ralph works with Tom
quinn.do	instanceOf	agents.do	taxonomic	hasInstances	Quinn is an agent
quinn.do	implements	agent.as	structural	implementedBy	Quinn implements agent interface
quinn.do	hasRole	qa	capability	roleOf	Quinn has QA role
mark.do	instanceOf	agents.do	taxonomic	hasInstances	Mark is an agent
mark.do	implements	agent.as	structural	implementedBy	Mark implements agent interface
mark.do	hasRole	marketing	capability	roleOf	Mark has marketing role
sally.do	instanceOf	agents.do	taxonomic	hasInstances	Sally is an agent
sally.do	implements	agent.as	structural	implementedBy	Sally implements agent interface
sally.do	hasRole	sales	capability	roleOf	Sally has sales role
rae.do	instanceOf	agents.do	taxonomic	hasInstances	Rae is an agent
rae.do	implements	agent.as	structural	implementedBy	Rae implements agent interface
rae.do	hasRole	frontend	capability	roleOf	Rae has frontend role
nathan.do	instanceOf	agents.do	taxonomic	hasInstances	Nathan is an agent
nathan.do	implements	agent.as	structural	implementedBy	Nathan implements agent interface
nathan.do	hasRole	founder	capability	roleOf	Nathan has founder role
#
# === ROLE RELATIONSHIPS ===
# Roles extend base role and are part of organizational structure
cfo.do	subtypeOf	executive	taxonomic	hasSubtype	CFO is executive
cfo.do	instanceOf	roles.do	taxonomic	hasInstances	CFO is a role
cfo.do	extends	exec.do	structural	extendedBy	CFO extends executive role
cmo.do	subtypeOf	executive	taxonomic	hasSubtype	CMO is executive
cmo.do	instanceOf	roles.do	taxonomic	hasInstances	CMO is a role
cmo.do	extends	exec.do	structural	extendedBy	CMO extends executive role
coo.do	subtypeOf	executive	taxonomic	hasSubtype	COO is executive
coo.do	instanceOf	roles.do	taxonomic	hasInstances	COO is a role
coo.do	extends	exec.do	structural	extendedBy	COO extends executive role
cpo.do	subtypeOf	executive	taxonomic	hasSubtype	CPO is executive
cpo.do	instanceOf	roles.do	taxonomic	hasInstances	CPO is a role
cpo.do	extends	exec.do	structural	extendedBy	CPO extends executive role
cro.do	subtypeOf	executive	taxonomic	hasSubtype	CRO is executive
cro.do	instanceOf	roles.do	taxonomic	hasInstances	CRO is a role
cro.do	extends	exec.do	structural	extendedBy	CRO extends executive role
cto.do	subtypeOf	executive	taxonomic	hasSubtype	CTO is executive
cto.do	instanceOf	roles.do	taxonomic	hasInstances	CTO is a role
cto.do	extends	exec.do	structural	extendedBy	CTO extends executive role
swe.do	subtypeOf	individual_contributor	taxonomic	hasSubtype	SWE is IC
swe.do	instanceOf	roles.do	taxonomic	hasInstances	SWE is a role
swe.do	relatedTo	engineers.do	semantic	relatedTo	SWE related to engineers
bdr.do	subtypeOf	sales	taxonomic	hasSubtype	BDR is sales role
bdr.do	instanceOf	roles.do	taxonomic	hasInstances	BDR is a role
sdr.do	subtypeOf	sales	taxonomic	hasSubtype	SDR is sales role
sdr.do	instanceOf	roles.do	taxonomic	hasInstances	SDR is a role
pdm.do	subtypeOf	management	taxonomic	hasSubtype	PDM is management
pdm.do	instanceOf	roles.do	taxonomic	hasInstances	PDM is a role
#
# === PRIMITIVE RELATIONSHIPS ===
# Core platform primitives and their dependencies
agents.do	isA	primitive	taxonomic	hasInstance	Agents is a primitive
agents.do	partOf	platform.do	compositional	hasPart	Agents is part of platform
agents.do	uses	llm.do	dependency	usedBy	Agents uses LLM
